연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
295,,,,,,,2419,기타 1차 철강 제조업,24191,"도금, 착색 및 기타 표면처리강재 제조업"
296,,,,,,,,,24199,그외 기타 1차 철강 제조업
297,,,,,242,1차 비철금속 제조업,2421,"비철금속 제련, 정련 및 합금 제조업",24211,"동 제련, 정련 및 합금 제조업"
298,,,,,,,,,24212,"알루미늄 제련, 정련 및 합금 제조업"
299,,,,,,,,,24213,"연 및 아연 제련, 정련 및 합금 제조업"
300,,,,,,,,,24219,"기타 비철금속 제련, 정련 및 합금 제조업"
301,,,,,,,2422,"비철금속 압연, 압출 및 연신제품 제조업",24221,"동 압연, 압출 및 연신제품 제조업"
302,,,,,,,,,24222,"알루미늄 압연, 압출 및 연신제품 제조업"
303,,,,,,,,,24229,"기타 비철금속 압연, 압출 및 연신제품 제조업"
304,,,,,,,2429,기타 1차 비철금속 제조업,24290,기타 1차 비철금속 제조업
305,,,,,243,금속 주조업,2431,철강 주조업,24311,선철주물 주조업
306,,,,,,,,,24312,강주물 주조업
307,,,,,,,2432,비철금속 주조업,24321,알루미늄주물 주조업
308,,,,,,,,,24322,동주물 주조업
309,,,,,,,,,24329,기타 비철금속 주조업
310,,,25,금속가공제품 제조업;기계 및 가구 제외,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",2511,구조용 금속제품 제조업,25111,"금속 문, 창, 셔터 및 관련제품 제조업"
311,,,,,,,,,25112,구조용 금속판제품 및 금속공작물 제조업
312,,,,,,,,,25113,금속 조립구조재 제조업
313,,,,,,,,,25119,기타 구조용 금속제품 제조업
314,,,,,,,2512,"금속탱크, 저장조 및 유사 용기 제조업",25121,중앙난방보일러 및 방열기 제조업
315,,,,,,,,,25122,설치용 금속탱크 및 저장용기 제조업
316,,,,,,,2513,핵반응기 및 증기발생기 제조업,25130,핵반응기 및 증기발생기 제조업
317,,,,,252,무기 및 총포탄 제조업,2520,무기 및 총포탄 제조업,25200,무기 및 총포탄 제조업
318,,,,,259,기타 금속가공제품 제조업,2591,"금속 단조, 압형 및 분말야금 제품 제조업",25911,분말야금제품 제조업
319,,,,,,,,,25912,금속단조제품 제조업
320,,,,,,,,,25913,금속압형제품 제조업
321,,,,,,,2592,"금속 열처리, 도금 및 기타 금속가공업",25921,금속 열처리업
322,,,,,,,,,25922,도금업
323,,,,,,,,,25923,도장 및 기타 피막처리업
324,,,,,,,,,25924,절삭가공 및 유사처리업
325,,,,,,,,,25929,그외 기타 금속가공업
326,,,,,,,2593,"날붙이, 수공구 및 일반철물 제조업",25931,날붙이 제조업
327,,,,,,,,,25932,일반철물 제조업
328,,,,,,,,,25933,비동력식 수공구 제조업
329,,,,,,,,,25934,톱 및 호환성공구 제조업
330,,,,,,,2594,"금속파스너, 스프링 및 금속선 가공제품 제조업",25941,금속파스너 및 나사제품 제조업
331,,,,,,,,,25942,금속 스프링 제조업
332,,,,,,,,,25943,금속선 가공제품 제조업
333,,,,,,,2599,그외 기타 금속가공제품 제조업,25991,금속캔 및 기타 포장용기 제조업
334,,,,,,,,,25992,금고 제조업
335,,,,,,,,,25993,수동식 식품 가공기기 및 금속주방용기 제조업
336,,,,,,,,,25994,금속위생용품 제조업
337,,,,,,,,,25995,금속표시판 제조업
338,,,,,,,,,25999,그외 기타 분류안된 금속가공제품 제조업
339,,,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,26110,전자집적회로 제조업
340,,,,,,,2612,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",26120,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
341,,,,,262,전자부품 제조업,2621,평판 디스플레이 제조업,26211,액정 평판 디스플레이 제조업
342,,,,,,,,,26219,플라즈마 및 기타 평판 디스플레이 제조업
343,,,,,,,2622,인쇄회로기판 및 전자부품 실장기판 제조업,26221,인쇄회로기판 제조업
344,,,,,,,,,26222,전자부품 실장기판 제조업
345,,,,,,,2629,기타 전자부품 제조업,26291,전자관 제조업
